"","units","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","samples","sites"
"3429","NISP",NA,"valve",36006,NA,"Diatoms","valve","Craticula cf. halophila NLA DB","DIAT",1,1
"3430","NISP",NA,"valve",36007,NA,"Diatoms","valve","Cyclotella sp. 1 NLS GDL","DIAT",4,4
"3431","NISP",NA,"valve",36009,NA,"Diatoms","valve","Encyonema cf. silesiacum NLA DB","DIAT",2,2
"3432","NISP",NA,"valve",36012,NA,"Diatoms","valve","Gomphonema cf. gracile NLA DB","DIAT",3,3
"3433","NISP",NA,"valve",36016,NA,"Diatoms","valve","Navicula cf. moskalii","DIAT",1,1
"3434","NISP",NA,"valve",36018,NA,"Diatoms","valve","Navicula sp. 10 NLA DB","DIAT",2,2
"3435","NISP",NA,"valve",36020,NA,"Diatoms","valve","Nitzschia cf. palea NLA DB","DIAT",4,4
"3436","NISP",NA,"valve",36028,NA,"Diatoms","valve","Synedra sp. 8 NAWQA MORALES","DIAT",5,5
"3437","NISP",NA,"valve",36029,NA,"Diatoms","valve","Undetermined Achnanthaceae spp.","DIAT",2,2
"3438","NISP",NA,"valve",36030,NA,"Diatoms","valve","Achnanthes sp. 17 NLA DB","DIAT",1,1
"3439","NISP",NA,"valve",36031,NA,"Diatoms","valve","Achnanthidium cf. deflexum NLA DB","DIAT",1,1
"3440","NISP",NA,"valve",36032,NA,"Diatoms","valve","Achnanthidium cf. minutissimum NLA DB","DIAT",3,3
"3441","NISP",NA,"valve",36034,NA,"Diatoms","valve","Anomoeoneis cf. sphaerophora fo. costata","DIAT",8,8
"3442","NISP",NA,"valve",36035,NA,"Diatoms","valve","Aulacoseira cf. distans NLA DB","DIAT",4,4
"3443","NISP",NA,"valve",36036,NA,"Diatoms","valve","Aulacoseira cf. tenuior NLA JPK","DIAT",1,1
"3444","NISP",NA,"valve",36041,NA,"Diatoms","valve","Chamaepinnularia sp. 1 NLS GDL","DIAT",4,4
"3445","NISP",NA,"valve",36042,NA,"Diatoms","valve","Cyclostephanos cf. invisitatus NLA DB","DIAT",1,1
"3446","NISP",NA,"valve",36044,NA,"Diatoms","valve","Cyclotella quadrijuncta","DIAT",6,6
"3447","NISP",NA,"valve",36045,NA,"Diatoms","valve","Cyclotella sp. 200 NLA DB","DIAT",1,1
"3448","NISP",NA,"valve",36047,NA,"Diatoms","valve","Cymbella cf. cistula NLA DB","DIAT",1,1
"3449","NISP",NA,"valve",36049,NA,"Diatoms","valve","Discostella sp. 202 NLA BSL","DIAT",3,3
"3450","NISP",NA,"valve",36050,NA,"Diatoms","valve","Encyonopsis aff. cesatii EAM","DIAT",13,13
"3451","NISP",NA,"valve",36051,NA,"Diatoms","valve","Encyonopsis cf. falaisensis NLA JPK","DIAT",1,1
"3452","NISP",NA,"valve",36052,NA,"Diatoms","valve","Eunotia cf. carolina NLS DME","DIAT",1,1
"3453","NISP",NA,"valve",36054,NA,"Diatoms","valve","Eunotia cf. paludosa NLA JPK","DIAT",4,4
"3454","NISP",NA,"valve",36058,NA,"Diatoms","valve","Fragilaria cf. capucina NLA DB","DIAT",1,1
"3455","NISP",NA,"valve",36060,NA,"Diatoms","valve","Fragilaria sp. 2 NLA JPK","DIAT",3,3
"3456","NISP",NA,"valve",36062,NA,"Diatoms","valve","Fragilariaceae spp.","DIAT",11,11
"3457","NISP",NA,"valve",36064,NA,"Diatoms","valve","Geissleria sp. 1 NLA DB","DIAT",2,2
"3458","NISP",NA,"valve",36071,NA,"Diatoms","valve","Gomphonema patrickii","DIAT",7,7
"3459","NISP",NA,"valve",36077,NA,"Diatoms","valve","Gyrosigma sp. 1 NLA JPK","DIAT",1,1
"3460","NISP",NA,"valve",36078,NA,"Diatoms","valve","Mastogloia lanceolata","DIAT",1,1
"3461","NISP",NA,"valve",36079,NA,"Diatoms","valve","Navicula cf. angusta NLA EWT","DIAT",1,1
"3462","NISP",NA,"valve",36080,NA,"Diatoms","valve","Navicula cf. irmengardis","DIAT",3,3
"3463","NISP",NA,"valve",36082,NA,"Diatoms","valve","Navicula cf. radiosa NLA DB","DIAT",3,3
"3464","NISP",NA,"valve",36085,NA,"Diatoms","valve","Navicula ruttneri var. rostrata","DIAT",2,2
"3465","NISP",NA,"valve",36086,NA,"Diatoms","valve","Navicula sp. 1 NLA DB","DIAT",1,1
"3466","NISP",NA,"valve",36093,NA,"Diatoms","valve","Navicula sp. 41 NLA BSA","DIAT",2,2
"3467","NISP",NA,"valve",36097,NA,"Diatoms","valve","Nitzschia cf. gracilis NLA DB","DIAT",4,4
"3468","NISP",NA,"valve",36098,NA,"Diatoms","valve","Nitzschia cf. inconspicua","DIAT",2,2
"3469","NISP",NA,"valve",36100,NA,"Diatoms","valve","Nitzschia cf. linearis NLA DB","DIAT",1,1
"3470","NISP",NA,"valve",36101,NA,"Diatoms","valve","Nitzschia cf. solita NLA DB","DIAT",1,1
"3471","NISP",NA,"valve",36103,NA,"Diatoms","valve","Nitzschia dissipata var. undulata","DIAT",1,1
"3472","NISP",NA,"valve",36107,NA,"Diatoms","valve","Opephora aff. olsenii SAVANNAH EAM","DIAT",21,21
"3473","NISP",NA,"valve",36113,NA,"Diatoms","valve","Pseudostaurosira sp. 1 NLS DME","DIAT",4,4
"3474","NISP",NA,"valve",36114,NA,"Diatoms","valve","Pseudostaurosiropsis sp. 1 NLS EAM","DIAT",3,3
"3475","NISP",NA,"valve",36116,NA,"Diatoms","valve","Rhoicosphenia spp.","DIAT",11,11
"3476","NISP",NA,"valve",36119,NA,"Diatoms","valve","Staurosirella cf. pinnata NLA DB","DIAT",2,2
"3477","NISP",NA,"valve",36120,NA,"Diatoms","valve","Thalassiosira cf. visurgis NLS DME","DIAT",2,2
"3478","NISP",NA,"valve",36132,NA,"Diatoms","valve","Aulacoseira cf. ambigua NLA DB","DIAT",1,1
"3479","NISP",NA,"valve",36136,NA,"Diatoms","valve","Aulacoseira cf. pfaffiana NLA JPK","DIAT",1,1
"3480","NISP",NA,"valve",36137,NA,"Diatoms","valve","Aulacoseira cf. valida NLA JPK","DIAT",1,1
"3481","NISP",NA,"valve",36139,NA,"Diatoms","valve","Aulacoseira laevissima","DIAT",12,12
"3482","NISP",NA,"valve",36141,NA,"Diatoms","valve","Aulacoseira sp. 1 NLA JPK","DIAT",1,1
"3483","NISP",NA,"valve",36142,NA,"Diatoms","valve","Aulacoseira sp. 5 cf. crenulata NAWQA UMICH ALBE","DIAT",1,1
"3484","NISP",NA,"valve",36143,NA,"Diatoms","valve","Brachysira cf. neoexilis NLA DB","DIAT",3,3
"3485","NISP",NA,"valve",36145,NA,"Diatoms","valve","Cocconeis placentula var. rouxii","DIAT",1,1
"3486","NISP",NA,"valve",36151,NA,"Diatoms","valve","Cyclotella sp. 1 NLA EWT","DIAT",2,2
"3487","NISP",NA,"valve",36152,NA,"Diatoms","valve","Cymbella cf. subaequalis NLA DB","DIAT",1,1
"3488","NISP",NA,"valve",36156,NA,"Diatoms","valve","Discostella cf. woltereckii NLA JPK","DIAT",1,1
"3489","NISP",NA,"valve",36162,NA,"Diatoms","valve","Eucocconeis spp.","DIAT",1,1
"3490","NISP",NA,"valve",36168,NA,"Diatoms","valve","Gomphonema cf. augur NLA JPK","DIAT",1,1
"3491","NISP",NA,"valve",36171,NA,"Diatoms","valve","Navicula cf. cryptotenelloides NLA DB","DIAT",2,2
"3492","NISP",NA,"valve",36174,NA,"Diatoms","valve","Navicula sp. 29 NAWQA EAM","DIAT",9,9
"3493","NISP",NA,"valve",36179,NA,"Diatoms","valve","Nitzschia compressa var. minor","DIAT",1,1
"3494","NISP",NA,"valve",36180,NA,"Diatoms","valve","Nitzschia gracilliformis","DIAT",14,13
"3495","NISP",NA,"valve",36182,NA,"Diatoms","valve","Nitzschia sp. 1 NLS DME","DIAT",1,1
"3496","NISP",NA,"valve",36190,NA,"Diatoms","valve","Stephanodiscus cf. hantzschii NLA BSL","DIAT",1,1
"3497","NISP",NA,"valve",36192,NA,"Diatoms","valve","Stephanodiscus cf. medius NLA BSL","DIAT",4,4
"3498","NISP",NA,"valve",36197,NA,"Diatoms","valve","Undetermined Cymbellaceae spp.","DIAT",1,1
"3499","NISP",NA,"valve",36199,NA,"Diatoms","valve","Achnanthes cf. convergens NLA DB","DIAT",1,1
"3500","NISP",NA,"valve",36204,NA,"Diatoms","valve","Cavinula sp. 126 NLA DB","DIAT",1,1
"3501","NISP",NA,"valve",36209,NA,"Diatoms","valve","Cymbella sp. 17 NLA DB","DIAT",1,1
"3502","NISP",NA,"valve",36210,NA,"Diatoms","valve","Diadesmis sp. 1 NLA DB","DIAT",4,4
"3503","NISP",NA,"valve",36212,NA,"Diatoms","valve","Epithemia cf. turgida NLA DB","DIAT",1,1
"3504","NISP",NA,"valve",36214,NA,"Diatoms","valve","Eunotia yanomami","DIAT",2,2
"3505","NISP",NA,"valve",36217,NA,"Diatoms","valve","Gomphonema cf. parvulum NLA DB","DIAT",3,3
"3506","NISP",NA,"valve",36223,NA,"Diatoms","valve","Navicula cf. trivialis NLA DB","DIAT",2,2
"3507","NISP",NA,"valve",36224,NA,"Diatoms","valve","Navicula cf. trivialis NLA EWT","DIAT",1,1
"3508","NISP",NA,"valve",36225,NA,"Diatoms","valve","Navicula heufleriana","DIAT",1,1
"3509","NISP",NA,"valve",36230,NA,"Diatoms","valve","Navicula sp. 39 NLA DB","DIAT",1,1
"3510","NISP",NA,"valve",36233,NA,"Diatoms","valve","Navicula sp. 5 NLA DB","DIAT",2,2
"3511","NISP",NA,"valve",36234,NA,"Diatoms","valve","Neidium capsulare","DIAT",1,1
"3512","NISP",NA,"valve",36240,NA,"Diatoms","valve","Pinnularia sp. 7 NLA DB","DIAT",2,2
"3513","NISP",NA,"valve",36245,NA,"Diatoms","valve","Sellaphora cf. pupula NLA DB","DIAT",1,1
"3514","NISP",NA,"valve",36247,NA,"Diatoms","valve","Stephanodiscus cf. subtranssylvanicus NLA DB","DIAT",1,1
"3515","NISP",NA,"valve",36249,NA,"Diatoms","valve","Synedra cf. acus NLA DB","DIAT",1,1
"3516","NISP",NA,"valve",36261,NA,"Diatoms","valve","Achnanthes sp. 7 NLA DB","DIAT",1,1
"3517","NISP",NA,"valve",36263,NA,"Diatoms","valve","Amphora cf. ovalis NLA DB","DIAT",1,1
"3518","NISP",NA,"valve",36267,NA,"Diatoms","valve","Biremis cf. circumtexta NLA BSL","DIAT",1,1
"3519","NISP",NA,"valve",36268,NA,"Diatoms","valve","Caloneis sp. 1 NLA BSL","DIAT",4,4
"3520","NISP",NA,"valve",36275,NA,"Diatoms","valve","Encyonema cf. minutum NLA DB","DIAT",2,2
"3521","NISP",NA,"valve",36276,NA,"Diatoms","valve","Epithemia cf. adnata NLA DB","DIAT",1,1
"3522","NISP",NA,"valve",36277,NA,"Diatoms","valve","Fallacia cf. subhamulata NLA DB","DIAT",1,1
"3523","NISP",NA,"valve",36280,NA,"Diatoms","valve","Fragilaria sp. 1 NLA BSL","DIAT",1,1
"3524","NISP",NA,"valve",36281,NA,"Diatoms","valve","Gomphonema cf. apicatum NLA DB","DIAT",1,1
"3525","NISP",NA,"valve",36282,NA,"Diatoms","valve","Gomphonema cf. clevei UMICH","DIAT",1,1
"3526","NISP",NA,"valve",36283,NA,"Diatoms","valve","Gomphonema cf. patrickii NLA DB","DIAT",2,2
"3527","NISP",NA,"valve",36292,NA,"Diatoms","valve","Navicula cf. lanceolata NLA DB","DIAT",2,2
"3528","NISP",NA,"valve",36294,NA,"Diatoms","valve","Navicula cf. pseudolanceolata NLA BSL","DIAT",1,1
"3529","NISP",NA,"valve",36295,NA,"Diatoms","valve","Navicula cf. recens NLA DB","DIAT",1,1
"3530","NISP",NA,"valve",36296,NA,"Diatoms","valve","Navicula sp. 20 NLA BSL","DIAT",4,4
"3531","NISP",NA,"valve",36298,NA,"Diatoms","valve","Navicula sp. 4?","DIAT",3,3
"3532","NISP",NA,"valve",36299,NA,"Diatoms","valve","Navicula sp. 6 NLA BSL","DIAT",1,1
"3533","NISP",NA,"valve",36300,NA,"Diatoms","valve","Nitzschia angusta","DIAT",1,1
"3534","NISP",NA,"valve",36306,NA,"Diatoms","valve","Nitzschia palea var. major","DIAT",2,2
"3535","NISP",NA,"valve",36307,NA,"Diatoms","valve","Pinnularia borealis var. scalaris","DIAT",1,1
"3536","NISP",NA,"valve",36309,NA,"Diatoms","valve","Pinnularia divergentissima var. subrostrata","DIAT",1,1
"3537","NISP",NA,"valve",36310,NA,"Diatoms","valve","Pinnularia krammeri","DIAT",1,1
"3538","NISP",NA,"valve",36312,NA,"Diatoms","valve","Psammothidium cf. marginulatum NLA DB","DIAT",1,1
"3539","NISP",NA,"valve",36313,NA,"Diatoms","valve","Psammothidium spp.","DIAT",45,45
"3540","NISP",NA,"valve",36314,NA,"Diatoms","valve","Pseudostaurosira cf. pseudoconstruens NLA BSL","DIAT",1,1
"3541","NISP",NA,"valve",36322,NA,"Diatoms","valve","Synedra sp. 1 NAWQA MORALES","DIAT",2,2
"3542","NISP",NA,"valve",36324,NA,"Diatoms","valve","Achnanthidium cf. gracillimum","DIAT",9,9
"3543","NISP",NA,"valve",36326,NA,"Diatoms","valve","Brachysira sp. 1 NLA BSL","DIAT",7,6
"3544","NISP",NA,"valve",36330,NA,"Diatoms","valve","Gomphonema cf. angustatum NLA DB","DIAT",1,1
"3545","NISP",NA,"valve",36333,NA,"Diatoms","valve","Navicula cf. capitatoradiata NLA DB","DIAT",1,1
"3546","NISP",NA,"valve",36337,NA,"Diatoms","valve","Navicula radiosiola","DIAT",1,1
"3547","NISP",NA,"valve",36341,NA,"Diatoms","valve","Planothidium cf. delicatulum NLA DB","DIAT",1,1
"3548","NISP",NA,"valve",36346,NA,"Diatoms","valve","Achnanthes sp. 26 NLA DB","DIAT",1,1
"3549","NISP",NA,"valve",36349,NA,"Diatoms","valve","Amphora cf. libyca NLA BSL","DIAT",1,1
"3550","NISP",NA,"valve",36351,NA,"Diatoms","valve","Amphora sp. 1 ANS WRC","DIAT",1,1
"3551","NISP",NA,"valve",36352,NA,"Diatoms","valve","Aulacoseira cf. crenulata NLA BSL","DIAT",1,1
"3552","NISP",NA,"valve",36353,NA,"Diatoms","valve","Aulacoseira cf. pfaffiana NLA DB","DIAT",1,1
"3553","NISP",NA,"valve",36354,NA,"Diatoms","valve","Caloneis sp. 1a NLA DB","DIAT",1,1
"3554","NISP",NA,"valve",36355,NA,"Diatoms","valve","Cavinula cf. scutiformis NLA BSL","DIAT",1,1
"3555","NISP",NA,"valve",36357,NA,"Diatoms","valve","Craticula sp. 2 NLA JZ","DIAT",1,1
"3556","NISP",NA,"valve",36361,NA,"Diatoms","valve","Cymbella cf. angustata NLA DB","DIAT",1,1
"3557","NISP",NA,"valve",36362,NA,"Diatoms","valve","Cymbella cf. turgidula NLA DB","DIAT",1,1
"3558","NISP",NA,"valve",36363,NA,"Diatoms","valve","Cymbella sp. 11 NLA DB","DIAT",1,1
"3559","NISP",NA,"valve",36364,NA,"Diatoms","valve","Cymbella sp. 5 NLS PJG cf. aspera","DIAT",2,2
"3560","NISP",NA,"valve",36365,NA,"Diatoms","valve","Diadesmis contenta var. biceps","DIAT",1,1
"3561","NISP",NA,"valve",36366,NA,"Diatoms","valve","Encyonema cf. lunatum NLA DB","DIAT",1,1
"3562","NISP",NA,"valve",36367,NA,"Diatoms","valve","Encyonema cf. triangulum NLA DB","DIAT",1,1
"3563","NISP",NA,"valve",36368,NA,"Diatoms","valve","Encyonema sp. 114 NLA DB","DIAT",1,1
"3564","NISP",NA,"valve",36369,NA,"Diatoms","valve","Encyonopsis cf. delicatissima NLA DB","DIAT",1,1
"3565","NISP",NA,"valve",36370,NA,"Diatoms","valve","Eunotia cf. arculus","DIAT",1,1
"3566","NISP",NA,"valve",36371,NA,"Diatoms","valve","Eunotia cf. glacialis NLA DB","DIAT",2,2
"3567","NISP",NA,"valve",36372,NA,"Diatoms","valve","Eunotia cf. neofallax NLA DB","DIAT",2,2
"3568","NISP",NA,"valve",36374,NA,"Diatoms","valve","Geissleria cf. acceptata","DIAT",1,1
"3569","NISP",NA,"valve",36376,NA,"Diatoms","valve","Gomphonema sp. 29 NLA DB","DIAT",1,1
"3570","NISP",NA,"valve",36378,NA,"Diatoms","valve","Hippodonta cf. subcostulata NLA JPK","DIAT",1,1
"3571","NISP",NA,"valve",36384,NA,"Diatoms","valve","Navicula cf. stroemii NLA BSL","DIAT",1,1
"3572","NISP",NA,"valve",36385,NA,"Diatoms","valve","Navicula cf. subminuscula NLA DB","DIAT",1,1
"3573","NISP",NA,"valve",36386,NA,"Diatoms","valve","Navicula cf. submuralis NLA BSL","DIAT",1,1
"3574","NISP",NA,"valve",36387,NA,"Diatoms","valve","Navicula cf. subrotundata NLA JPK","DIAT",1,1
"3575","NISP",NA,"valve",36389,NA,"Diatoms","valve","Navicula sp. 1 NLA JPK","DIAT",1,1
"3576","NISP",NA,"valve",36390,NA,"Diatoms","valve","Navicula sp. 1 NLS EAM","DIAT",1,1
"3577","NISP",NA,"valve",36391,NA,"Diatoms","valve","Navicula sp. 33 NLA EWT","DIAT",1,1
"3578","NISP",NA,"valve",36392,NA,"Diatoms","valve","Navicula sp. 43 NLA DB","DIAT",1,1
"3579","NISP",NA,"valve",36393,NA,"Diatoms","valve","Navicula sp. 50 NLA BSL","DIAT",1,1
"3580","NISP",NA,"valve",36394,NA,"Diatoms","valve","Navicula sp. 6a NLA DB","DIAT",1,1
"3581","NISP",NA,"valve",36395,NA,"Diatoms","valve","Navicula subinflata","DIAT",1,1
"3582","NISP",NA,"valve",36396,NA,"Diatoms","valve","Naviculadicta cf. elorantana NLA DB","DIAT",2,2
"3583","NISP",NA,"valve",36397,NA,"Diatoms","valve","Neidium sp. 3 NLA BSL","DIAT",1,1
"3584","NISP",NA,"valve",36398,NA,"Diatoms","valve","Nitzschia cf. paleacea NLA EWT","DIAT",1,1
"3585","NISP",NA,"valve",36400,NA,"Diatoms","valve","Nitzschia sp. 20 NLA DB","DIAT",1,1
"3586","NISP",NA,"valve",36401,NA,"Diatoms","valve","Nitzschia sp. 6 NLA DB","DIAT",1,1
"3587","NISP",NA,"valve",36415,NA,"Diatoms","valve","Kobayasiella sp. 1 NLA JPK","DIAT",1,1
"3588","NISP",NA,"valve",36416,NA,"Diatoms","valve","Navicula cf. pseudoventralis NLA JPK","DIAT",1,1
"3589","NISP",NA,"valve",36417,NA,"Diatoms","valve","Navicula sp. 31 NLA EWT","DIAT",1,1
"3590","NISP",NA,"valve",36418,NA,"Diatoms","valve","Navicula sp. 32 NLA EWT","DIAT",1,1
"3591","NISP",NA,"valve",36419,NA,"Diatoms","valve","Navicula sp. 6 NLA JPK","DIAT",1,1
"3592","NISP",NA,"valve",36420,NA,"Diatoms","valve","Placoneis cf. elginensis NLA JPK","DIAT",1,1
"3593","NISP",NA,"valve",36421,NA,"Diatoms","valve","Stauroneis cf. dubitabilis NLA BSL","DIAT",1,1
"3594","NISP",NA,"valve",36422,NA,"Diatoms","valve","Stauroneis cf. gracilis NLA JPK","DIAT",1,1
"3595","NISP",NA,"valve",36423,NA,"Diatoms","valve","Staurosirella cf. berolinensis NLA JPK","DIAT",1,1
"3596","NISP",NA,"valve",36424,NA,"Diatoms","valve","Navicula sp. 10 NLS GDL","DIAT",4,4
"3597","NISP",NA,"valve",36425,NA,"Diatoms","valve","Navicula sp. 13 NLA BSL","DIAT",4,4
"3598","NISP",NA,"valve",36427,NA,"Diatoms","valve","Campylodiscus bicostatus","DIAT",1,1
"3599","NISP",NA,"valve",36428,NA,"Diatoms","valve","Navicula cf. graciloides NLA BSL","DIAT",1,1
"3600","NISP",NA,"valve",36429,NA,"Diatoms","valve","Achnanthes sp. 1 NLS EAM","DIAT",3,3
"3601","NISP",NA,"valve",36430,NA,"Diatoms","valve","Achnanthes sp. 21 NLA EWT","DIAT",1,1
"3602","NISP",NA,"valve",36431,NA,"Diatoms","valve","Fragilariaceae sp. 2?","DIAT",9,8
"3603","NISP",NA,"valve",36432,NA,"Diatoms","valve","Fragilariaceae sp. 3?","DIAT",3,3
"3604","NISP",NA,"valve",36433,NA,"Diatoms","valve","Gomphonema cf. clavatum NLA DB","DIAT",1,1
"3605","NISP",NA,"valve",36434,NA,"Diatoms","valve","Gomphonema cf. vibrio var. intricatum NLA DB","DIAT",5,5
"3606","NISP",NA,"valve",36435,NA,"Diatoms","valve","Gomphonema parvulum var. lagenula","DIAT",3,3
"3607","NISP",NA,"valve",36436,NA,"Diatoms","valve","Kobayasia sp. 11 NLS GDL cf. parasubtilissima","DIAT",2,2
"3608","NISP",NA,"valve",36437,NA,"Diatoms","valve","Navicula cf. minima NLA EWT","DIAT",2,2
"3609","NISP",NA,"valve",36438,NA,"Diatoms","valve","Navicula sp. 21 NLA EWT","DIAT",2,2
"3610","NISP",NA,"valve",36439,NA,"Diatoms","valve","Navicula sp. 22 NLA EWT","DIAT",2,2
"3611","NISP",NA,"valve",36440,NA,"Diatoms","valve","Navicula sp. 23 NLA EWT","DIAT",2,2
"3612","NISP",NA,"valve",36441,NA,"Diatoms","valve","Navicula sp. 42 NLA BSL","DIAT",2,2
"3613","NISP",NA,"valve",36442,NA,"Diatoms","valve","Navicula sp. 43 NLA BSL","DIAT",2,2
"3614","NISP",NA,"valve",36443,NA,"Diatoms","valve","Navicula sp. 7 NLA DB","DIAT",4,4
"3615","NISP",NA,"valve",36444,NA,"Diatoms","valve","Pinnularia sp. 10 NLA BSL","DIAT",1,1
"3616","NISP",NA,"valve",36445,NA,"Diatoms","valve","Stauroneis sp. 1 NLS GDL cf. stodderi","DIAT",1,1
"3617","NISP",NA,"valve",36446,NA,"Diatoms","valve","Stauroneis sp. 8 NAWQA DW","DIAT",6,6
"3618","NISP",NA,"valve",36447,NA,"Diatoms","valve","Surirella sp. 1 NLA BSL","DIAT",1,1
"3619","NISP",NA,"valve",36448,NA,"Diatoms","valve","Thalassiosira sp. 1 NLA BSL","DIAT",1,1
"3620","NISP",NA,"valve",36449,NA,"Diatoms","valve","Discostella cf. glomerata","DIAT",1,1
"3621","NISP",NA,"valve",36450,NA,"Diatoms","valve","Navicula cf. comoides NLA BSL","DIAT",1,1
"3622","NISP",NA,"valve",36683,NA,"Diatoms","valve","Achnanthidium crassum","DIAT",10,10
"3623","NISP",NA,"valve",36684,NA,"Diatoms","valve","Achnanthes rostellata","DIAT",7,7
"3624","NISP",NA,"valve",36685,NA,"Diatoms","valve","Achnanthidium delmontii","DIAT",10,10
"3625","NISP",NA,"valve",36686,NA,"Diatoms","valve","Achnanthidium sp. 1 NE Lakes","DIAT",13,13
"3626","NISP",NA,"valve",36687,NA,"Diatoms","valve","Achnanthidium sp. 2 NE Lakes","DIAT",5,5
"3627","NISP",NA,"valve",36688,NA,"Diatoms","valve","Achnanthidium sp. 5 NE Lakes","DIAT",1,1
"3628","NISP",NA,"valve",36689,NA,"Diatoms","valve","Adlafia sp. 1 NE Lakes","DIAT",1,1
"3629","NISP",NA,"valve",36690,NA,"Diatoms","valve","Adlafia sp. 2 NE Lakes","DIAT",1,1
"3630","NISP",NA,"valve",36691,NA,"Diatoms","valve","Adlafia sp. 3 NE Lakes","DIAT",8,8
"3631","NISP",NA,"valve",37061,NA,"Diatoms","valve","Rossithidium spp.","DIAT",1,1
"3632","NISP",NA,"valve",37066,NA,"Diatoms","valve","Sellaphora capitata","DIAT",32,31
"3633","NISP",NA,"valve",38729,NA,"Diatoms","valve","Aulacoseira sp. 1 NE Lakes","DIAT",23,23
"3634","NISP",NA,"valve",38730,NA,"Diatoms","valve","Aulacoseira sp. 2 NE Lakes","DIAT",1,1
"3635","NISP",NA,"valve",38731,NA,"Diatoms","valve","Aulacoseira sp. 10 NE Lakes","DIAT",8,8
"3636","NISP",NA,"valve",38732,NA,"Diatoms","valve","Aulacoseira sp. 11 NE Lakes","DIAT",2,2
"3637","NISP",NA,"valve",38733,NA,"Diatoms","valve","Aulacoseira sp. 12 NE Lakes","DIAT",1,1
"3638","NISP",NA,"valve",38734,NA,"Diatoms","valve","Aulacoseira sp. 4 NE Lakes","DIAT",15,14
"3639","NISP",NA,"valve",38735,NA,"Diatoms","valve","Aulacoseira sp. 5 NE Lakes","DIAT",8,8
"3640","NISP",NA,"valve",38736,NA,"Diatoms","valve","Aulacoseira sp. 6 NE Lakes","DIAT",15,15
"3641","NISP",NA,"valve",38737,NA,"Diatoms","valve","Aulacoseira sp. 7 NE Lakes","DIAT",6,6
"3642","NISP",NA,"valve",38738,NA,"Diatoms","valve","Aulacoseira sp. 8 NE Lakes","DIAT",8,8
"3643","NISP",NA,"valve",38739,NA,"Diatoms","valve","Aulacoseira sp. 9 NE Lakes","DIAT",1,1
"3644","NISP",NA,"valve",38740,NA,"Diatoms","valve","Brachysira sp. 1 NE Lakes","DIAT",11,11
"3645","NISP",NA,"valve",38741,NA,"Diatoms","valve","Brachysira sp. 2 NE Lakes","DIAT",1,1
"3646","NISP",NA,"valve",38742,NA,"Diatoms","valve","Brachysira sp. 4 NE Lakes","DIAT",10,10
"3647","NISP",NA,"valve",38743,NA,"Diatoms","valve","Brachysira sp. 5 NE Lakes","DIAT",1,1
"3648","NISP",NA,"valve",38744,NA,"Diatoms","valve","Caloneis sp. 1 NE Lakes","DIAT",8,8
"3649","NISP",NA,"valve",38745,NA,"Diatoms","valve","Caloneis sp. 10 NE Lakes","DIAT",3,2
"3650","NISP",NA,"valve",38746,NA,"Diatoms","valve","Caloneis sp. 11 NE Lakes","DIAT",8,8
"3651","NISP",NA,"valve",38747,NA,"Diatoms","valve","Caloneis sp. 13 NE Lakes","DIAT",1,1
"3652","NISP",NA,"valve",38748,NA,"Diatoms","valve","Caloneis sp. 14 NE Lakes","DIAT",8,8
"3653","NISP",NA,"valve",38749,NA,"Diatoms","valve","Caloneis sp. 2 NE Lakes","DIAT",1,1
"3654","NISP",NA,"valve",38750,NA,"Diatoms","valve","Caloneis sp. 3 NE Lakes","DIAT",5,5
"3655","NISP",NA,"valve",38751,NA,"Diatoms","valve","Caloneis sp. 4 NE Lakes","DIAT",1,1
"3656","NISP",NA,"valve",38752,NA,"Diatoms","valve","Caloneis sp. 5 NE Lakes","DIAT",2,2
"3657","NISP",NA,"valve",38753,NA,"Diatoms","valve","Caloneis sp. 7 NE Lakes","DIAT",3,3
"3658","NISP",NA,"valve",38754,NA,"Diatoms","valve","Caloneis sp. 9 NE Lakes","DIAT",3,3
"3659","NISP",NA,"valve",38755,NA,"Diatoms","valve","Cavinula sp. 1 NE Lakes","DIAT",6,6
"3660","NISP",NA,"valve",38756,NA,"Diatoms","valve","Cocconeis sp. 1 NE Lakes","DIAT",1,1
"3661","NISP",NA,"valve",38757,NA,"Diatoms","valve","Cyclotella sp. 1 NE Lakes","DIAT",2,2
"3662","NISP",NA,"valve",38758,NA,"Diatoms","valve","Cyclotella sp. 3 NE Lakes","DIAT",1,1
"3663","NISP",NA,"valve",38759,NA,"Diatoms","valve","Cymbella sp. 1 NE Lakes","DIAT",2,2
"3664","NISP",NA,"valve",38760,NA,"Diatoms","valve","Cymbopleura sp. 1 NE Lakes","DIAT",3,3
"3665","NISP",NA,"valve",38761,NA,"Diatoms","valve","Cymbopleura sp. 2 NE Lakes","DIAT",1,1
"3666","NISP",NA,"valve",38774,NA,"Diatoms","valve","Delicata sp. 1 NE Lakes","DIAT",7,7
"3667","NISP",NA,"valve",38775,NA,"Diatoms","valve","Diploneis sp. 1 NE Lakes","DIAT",2,2
"3668","NISP",NA,"valve",38776,NA,"Diatoms","valve","Encyonema sp. 2 NE Lakes","DIAT",4,4
"3669","NISP",NA,"valve",38777,NA,"Diatoms","valve","Encyonema sp. 3 NE Lakes","DIAT",1,1
