,units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,replacement,ecologicalgroup,samples,sites
1352,NISP,NA,valve,11987,NA,Diatoms,valve,Pinnularia cleveii,,DIAT,4,4
3364,NISP,NA,valve,39078,NA,Diatoms,valve,Pinnularia cuneicephala,,DIAT,2,2
1433,NISP,NA,valve,12095,NA,Diatoms,valve,Pinnularia dactylus,,DIAT,2,2
3761,percent,NA,valve,12095,NA,Diatoms,valve,Pinnularia dactylus,,DIAT,1,1
3365,NISP,NA,valve,39079,NA,Diatoms,valve,Pinnularia decrescens,,DIAT,2,2
1353,NISP,NA,valve,11988,NA,Diatoms,valve,Pinnularia divergens,,DIAT,97,58
1354,NISP,NA,valve,11990,NA,Diatoms,valve,Pinnularia divergentissima,,DIAT,146,64
2939,NISP,NA,valve,36309,NA,Diatoms,valve,Pinnularia divergentissima var. subrostrata,,DIAT,1,1
3451,NISP,NA,valve,41122,NA,Diatoms,valve,Pinnularia flexuosa,,DIAT,1,1
1355,NISP,NA,valve,11991,NA,Diatoms,valve,Pinnularia formica,,DIAT,13,8
1356,NISP,NA,valve,11992,NA,Diatoms,valve,Pinnularia gentilis,,DIAT,1,1
1436,NISP,NA,valve,12100,NA,Diatoms,valve,Pinnularia gibba,,DIAT,243,164
1816,NISP,NA,valve,12621,NA,Diatoms,valve,Pinnularia gibba var. linearis,,DIAT,20,19
1442,NISP,NA,valve,12111,NA,Diatoms,valve,Pinnularia gibba var. mesogongyla,,DIAT,1,1
2335,NISP,NA,valve,25180,NA,Diatoms,valve,Pinnularia gibbiformis,,DIAT,22,20
1336,NISP,NA,valve,11970,NA,Diatoms,valve,Pinnularia hemiptera,,DIAT,7,7
1357,NISP,NA,valve,11993,NA,Diatoms,valve,Pinnularia hilseana,,DIAT,124,36
1435,NISP,NA,valve,12098,NA,Diatoms,valve,Pinnularia ignobilis,,DIAT,2,2
3366,NISP,NA,valve,39080,NA,Diatoms,valve,Pinnularia inconstans,,DIAT,4,4
1358,NISP,NA,valve,11994,NA,Diatoms,valve,Pinnularia inflata,,DIAT,1,1
1359,NISP,NA,valve,11995,NA,Diatoms,valve,Pinnularia intermedia,,DIAT,6,5
1441,NISP,NA,valve,12110,NA,Diatoms,valve,Pinnularia interrupta,,DIAT,66,62
3410,NISP,NA,valve,39124,NA,Diatoms,valve,Pinnularia julma/P. dornii,,DIAT,2,2
2940,NISP,NA,valve,36310,NA,Diatoms,valve,Pinnularia krammeri,,DIAT,1,1
1392,NISP,NA,valve,12033,NA,Diatoms,valve,Pinnularia kwacksii,,DIAT,87,48
2714,NISP,NA,valve,30806,NA,Diatoms,valve,Pinnularia lacustris,,DIAT,1,1
3367,NISP,NA,valve,39081,NA,Diatoms,valve,Pinnularia lange-bertalotii,,DIAT,1,1
1443,NISP,NA,valve,12112,NA,Diatoms,valve,Pinnularia lapponica,,DIAT,1,1
3368,NISP,NA,valve,39082,NA,Diatoms,valve,Pinnularia latarea,,DIAT,1,1
1360,NISP,NA,valve,11996,NA,Diatoms,valve,Pinnularia latevittata,,DIAT,4,4
1361,NISP,NA,valve,11997,NA,Diatoms,valve,Pinnularia latevittata var. domingensis,,DIAT,3,3
1362,NISP,NA,valve,11998,NA,Diatoms,valve,Pinnularia legumen,,DIAT,22,16
1434,NISP,NA,valve,12096,NA,Diatoms,valve,Pinnularia lundii,,DIAT,6,6
1438,NISP,NA,valve,12105,NA,Diatoms,valve,Pinnularia macilenta,,DIAT,2,2
1363,NISP,NA,valve,11999,NA,Diatoms,valve,Pinnularia maior,,DIAT,251,94
3757,percent,NA,valve,11999,NA,Diatoms,valve,Pinnularia maior,,DIAT,1,1
1431,NISP,NA,valve,12087,NA,Diatoms,valve,Pinnularia maior var. pulchella,,DIAT,2,2
2336,NISP,NA,valve,25181,NA,Diatoms,valve,Pinnularia major,,DIAT,2,2
1364,NISP,NA,valve,12002,NA,Diatoms,valve,Pinnularia mesogongyla,,DIAT,8,7
1365,NISP,NA,valve,12003,NA,Diatoms,valve,Pinnularia mesolepta,,DIAT,215,93
3758,percent,NA,valve,12003,NA,Diatoms,valve,Pinnularia mesolepta,,DIAT,1,1
1378,NISP,NA,valve,12017,NA,Diatoms,valve,Pinnularia mesolepta var. 1 PIRLA,,DIAT,6,4
1366,NISP,NA,valve,12005,NA,Diatoms,valve,Pinnularia microstauron,,DIAT,615,273
2735,NISP,NA,valve,30908,NA,Diatoms,valve,Pinnularia microstauron (Ehrenb.) var. 1,,DIAT,5,5
2736,NISP,NA,valve,30909,NA,Diatoms,valve,Pinnularia microstauron (Ehrenb.) var. 2,,DIAT,11,11
2715,NISP,NA,valve,30807,NA,Diatoms,valve,Pinnularia microstauron morphotype II,,DIAT,17,13
1395,NISP,NA,valve,12036,NA,Diatoms,valve,Pinnularia microstauron var. adirondackensis,,DIAT,110,58
1397,NISP,NA,valve,12038,NA,Diatoms,valve,Pinnularia microstauron var. lunicus,,DIAT,30,22
1367,NISP,NA,valve,12006,NA,Diatoms,valve,Pinnularia mormonorum,,DIAT,2,2
2597,NISP,NA,valve,28726,NA,Diatoms,valve,Pinnularia neomajor var. intermedia,,DIAT,1,1
1368,NISP,NA,valve,12007,NA,Diatoms,valve,Pinnularia nodosa,,DIAT,109,82
3759,percent,NA,valve,12007,NA,Diatoms,valve,Pinnularia nodosa,,DIAT,1,1
2534,NISP,NA,valve,28017,NA,Diatoms,valve,Pinnularia nodosa morph 1,,DIAT,1,1
1406,NISP,NA,valve,12050,NA,Diatoms,valve,Pinnularia nodosa var. constricta fo. truncata,,DIAT,1,1
3369,NISP,NA,valve,39083,NA,Diatoms,valve,Pinnularia nodosa var. percapitata,,DIAT,20,20
2306,NISP,NA,valve,25112,NA,Diatoms,valve,Pinnularia nodosiformis,,DIAT,1,1
1369,NISP,NA,valve,12008,NA,Diatoms,valve,Pinnularia obscura,,DIAT,19,17
1370,NISP,NA,valve,12009,NA,Diatoms,valve,Pinnularia oculus,,DIAT,1,1
2264,NISP,NA,valve,25017,NA,Diatoms,valve,Pinnularia parvula,,DIAT,4,4
3575,NISP,NA,valve,45671,NA,Diatoms,valve,Pinnularia paulensis,,DIAT,1,1
2716,NISP,NA,valve,30808,NA,Diatoms,valve,Pinnularia pluviana,,DIAT,3,2
2384,NISP,NA,valve,25545,NA,Diatoms,valve,Pinnularia pluvianiformis,,DIAT,6,6
1399,NISP,NA,valve,12040,NA,Diatoms,valve,Pinnularia pogoii,,DIAT,166,59
1401,NISP,NA,valve,12043,NA,Diatoms,valve,Pinnularia polyonca,,DIAT,36,27
1437,NISP,NA,valve,12103,NA,Diatoms,valve,Pinnularia pseudomicrostauron,,DIAT,41,10
3452,NISP,NA,valve,41123,NA,Diatoms,valve,Pinnularia pulchella var. canadensis,,DIAT,1,1
1855,NISP,NA,valve,12747,NA,Diatoms,valve,Pinnularia pulchra,,DIAT,1,1
1841,NISP,NA,valve,12672,NA,Diatoms,valve,Pinnularia pulchra var. angusta,,DIAT,2,2
1962,NISP,NA,valve,12892,NA,Diatoms,valve,Pinnularia renata,,DIAT,39,37
2013,NISP,NA,valve,13040,NA,Diatoms,valve,Pinnularia rhombarea,,DIAT,12,10
1371,NISP,NA,valve,12010,NA,Diatoms,valve,Pinnularia rupestris,,DIAT,35,26
1372,NISP,NA,valve,12011,NA,Diatoms,valve,Pinnularia ruttneri,,DIAT,17,7
2014,NISP,NA,valve,13041,NA,Diatoms,valve,Pinnularia saprophila,,DIAT,1,1
2619,NISP,NA,valve,29567,NA,Diatoms,valve,Pinnularia schoenfelderi,,DIAT,11,11
3370,NISP,NA,valve,39084,NA,Diatoms,valve,Pinnularia scotica,,DIAT,3,3
3453,NISP,NA,valve,41124,NA,Diatoms,valve,Pinnularia septentrionalis,,DIAT,1,1
2161,NISP,NA,valve,24288,NA,Diatoms,valve,Pinnularia silicula,,DIAT,18,4
2337,NISP,NA,valve,25182,NA,Diatoms,valve,Pinnularia silvatica,,DIAT,25,9
2446,NISP,NA,valve,27131,NA,Diatoms,valve,Pinnularia sinistra,,DIAT,2,2
2471,NISP,NA,valve,27176,NA,Diatoms,valve,Pinnularia sp.,,DIAT,32,16
3148,NISP,NA,valve,38853,NA,Diatoms,valve,Pinnularia sp. 1 NE Lakes,,DIAT,1,1
1403,NISP,NA,valve,12045,NA,Diatoms,valve,Pinnularia sp. 1 PIRLA,,DIAT,3,2
1446,NISP,NA,valve,12118,NA,Diatoms,valve,Pinnularia sp. 1?,,DIAT,171,110
3149,NISP,NA,valve,38854,NA,Diatoms,valve,Pinnularia sp. 10 NE Lakes,,DIAT,4,4
3018,NISP,NA,valve,36444,NA,Diatoms,valve,Pinnularia sp. 10 NLA BSL,,DIAT,1,1
3150,NISP,NA,valve,38855,NA,Diatoms,valve,Pinnularia sp. 11 NE Lakes,,DIAT,1,1
1381,NISP,NA,valve,12020,NA,Diatoms,valve,Pinnularia sp. 11 PIRLA,,DIAT,191,65
3497,NISP,NA,valve,45445,NA,Diatoms,valve,Pinnularia sp. 12 NLA DB,,DIAT,1,1
1407,NISP,NA,valve,12051,NA,Diatoms,valve,Pinnularia sp. 12 PIRLA,,DIAT,2,2
3471,NISP,NA,valve,41210,NA,Diatoms,valve,Pinnularia sp. 13 NE Lakes,,DIAT,1,1
1391,NISP,NA,valve,12031,NA,Diatoms,valve,Pinnularia sp. 13 PIRLA,,DIAT,11,7
1351,NISP,NA,valve,11986,NA,Diatoms,valve,Pinnularia sp. 14 PIRLA,,DIAT,18,12
3513,NISP,NA,valve,45604,NA,Diatoms,valve,Pinnularia sp. 16 NLA DB,,DIAT,1,1
3151,NISP,NA,valve,38856,NA,Diatoms,valve,Pinnularia sp. 19 NE Lakes,,DIAT,2,2
1447,NISP,NA,valve,12119,NA,Diatoms,valve,Pinnularia sp. 2?,,DIAT,73,50
3152,NISP,NA,valve,38857,NA,Diatoms,valve,Pinnularia sp. 21 NE Lakes,,DIAT,1,1
3153,NISP,NA,valve,38858,NA,Diatoms,valve,Pinnularia sp. 22 NE Lakes,,DIAT,1,1
1404,NISP,NA,valve,12046,NA,Diatoms,valve,Pinnularia sp. 22 PIRLA,,DIAT,19,4
3154,NISP,NA,valve,38859,NA,Diatoms,valve,Pinnularia sp. 23 NE Lakes,,DIAT,15,15
1405,NISP,NA,valve,12047,NA,Diatoms,valve,Pinnularia sp. 23 PIRLA,,DIAT,1,1
3155,NISP,NA,valve,38860,NA,Diatoms,valve,Pinnularia sp. 24 NE Lakes,,DIAT,1,1
1411,NISP,NA,valve,12060,NA,Diatoms,valve,Pinnularia sp. 24 PIRLA,,DIAT,2,2
3156,NISP,NA,valve,38861,NA,Diatoms,valve,Pinnularia sp. 25 NE Lakes,,DIAT,3,3
1412,NISP,NA,valve,12061,NA,Diatoms,valve,Pinnularia sp. 25 PIRLA,,DIAT,12,12
3157,NISP,NA,valve,38862,NA,Diatoms,valve,Pinnularia sp. 26 NE Lakes,,DIAT,2,2
1413,NISP,NA,valve,12062,NA,Diatoms,valve,Pinnularia sp. 26 PIRLA,,DIAT,1,1
3158,NISP,NA,valve,38863,NA,Diatoms,valve,Pinnularia sp. 27 NE Lakes,,DIAT,1,1
1414,NISP,NA,valve,12063,NA,Diatoms,valve,Pinnularia sp. 27 PIRLA,,DIAT,2,2
3159,NISP,NA,valve,38864,NA,Diatoms,valve,Pinnularia sp. 28 NE Lakes,,DIAT,2,2
1415,NISP,NA,valve,12064,NA,Diatoms,valve,Pinnularia sp. 28 PIRLA,,DIAT,24,24
3160,NISP,NA,valve,38865,NA,Diatoms,valve,Pinnularia sp. 29 NE Lakes,,DIAT,1,1
1416,NISP,NA,valve,12065,NA,Diatoms,valve,Pinnularia sp. 29 PIRLA,,DIAT,2,2
1334,NISP,NA,valve,11968,NA,Diatoms,valve,Pinnularia sp. 3 PIRLA,,DIAT,1,1
1448,NISP,NA,valve,12120,NA,Diatoms,valve,Pinnularia sp. 3?,,DIAT,27,20
3161,NISP,NA,valve,38866,NA,Diatoms,valve,Pinnularia sp. 30 NE Lakes,,DIAT,1,1
1417,NISP,NA,valve,12066,NA,Diatoms,valve,Pinnularia sp. 30 PIRLA,,DIAT,7,7
3162,NISP,NA,valve,38867,NA,Diatoms,valve,Pinnularia sp. 31 NE Lakes,,DIAT,1,1
1418,NISP,NA,valve,12067,NA,Diatoms,valve,Pinnularia sp. 31 PIRLA,,DIAT,2,2
3163,NISP,NA,valve,38868,NA,Diatoms,valve,Pinnularia sp. 32 NE Lakes,,DIAT,1,1
1419,NISP,NA,valve,12068,NA,Diatoms,valve,Pinnularia sp. 32 PIRLA,,DIAT,2,2
3164,NISP,NA,valve,38869,NA,Diatoms,valve,Pinnularia sp. 33 NE Lakes,,DIAT,2,2
1420,NISP,NA,valve,12069,NA,Diatoms,valve,Pinnularia sp. 33 PIRLA,,DIAT,1,1
3165,NISP,NA,valve,38870,NA,Diatoms,valve,Pinnularia sp. 34 NE Lakes,,DIAT,1,1
1421,NISP,NA,valve,12070,NA,Diatoms,valve,Pinnularia sp. 34 PIRLA,,DIAT,1,1
3166,NISP,NA,valve,38871,NA,Diatoms,valve,Pinnularia sp. 35 NE Lakes,,DIAT,3,3
1422,NISP,NA,valve,12071,NA,Diatoms,valve,Pinnularia sp. 35 PIRLA,,DIAT,1,1
3167,NISP,NA,valve,38872,NA,Diatoms,valve,Pinnularia sp. 36 NE Lakes,,DIAT,1,1
1423,NISP,NA,valve,12072,NA,Diatoms,valve,Pinnularia sp. 36 PIRLA,,DIAT,1,1
3168,NISP,NA,valve,38873,NA,Diatoms,valve,Pinnularia sp. 37 NE Lakes,,DIAT,11,11
1424,NISP,NA,valve,12073,NA,Diatoms,valve,Pinnularia sp. 37 PIRLA,,DIAT,1,1
3169,NISP,NA,valve,38874,NA,Diatoms,valve,Pinnularia sp. 38 NE Lakes,,DIAT,2,2
1425,NISP,NA,valve,12074,NA,Diatoms,valve,Pinnularia sp. 38 PIRLA,,DIAT,1,1
3170,NISP,NA,valve,38875,NA,Diatoms,valve,Pinnularia sp. 39 NE Lakes,,DIAT,4,4
1426,NISP,NA,valve,12075,NA,Diatoms,valve,Pinnularia sp. 39 PIRLA,,DIAT,1,1
1449,NISP,NA,valve,12121,NA,Diatoms,valve,Pinnularia sp. 4?,,DIAT,14,14
3171,NISP,NA,valve,38876,NA,Diatoms,valve,Pinnularia sp. 40 NE Lakes,,DIAT,13,13
1427,NISP,NA,valve,12076,NA,Diatoms,valve,Pinnularia sp. 40 PIRLA,,DIAT,1,1
3172,NISP,NA,valve,38877,NA,Diatoms,valve,Pinnularia sp. 41 NE Lakes,,DIAT,1,1
3173,NISP,NA,valve,38878,NA,Diatoms,valve,Pinnularia sp. 42 NE Lakes,,DIAT,11,11
1428,NISP,NA,valve,12077,NA,Diatoms,valve,Pinnularia sp. 42 PIRLA,,DIAT,1,1
3174,NISP,NA,valve,38879,NA,Diatoms,valve,Pinnularia sp. 46 NE Lakes,,DIAT,6,6
3175,NISP,NA,valve,38880,NA,Diatoms,valve,Pinnularia sp. 47 NE Lakes,,DIAT,5,5
3176,NISP,NA,valve,38881,NA,Diatoms,valve,Pinnularia sp. 48 NE Lakes,,DIAT,4,4
3177,NISP,NA,valve,38882,NA,Diatoms,valve,Pinnularia sp. 49 NE Lakes,,DIAT,6,6
3178,NISP,NA,valve,38883,NA,Diatoms,valve,Pinnularia sp. 5 NE Lakes,,DIAT,1,1
3567,NISP,NA,valve,45663,NA,Diatoms,valve,Pinnularia sp. 5 NLA DB,,DIAT,1,1
1450,NISP,NA,valve,12122,NA,Diatoms,valve,Pinnularia sp. 5?,,DIAT,12,11
3179,NISP,NA,valve,38884,NA,Diatoms,valve,Pinnularia sp. 50 NE Lakes,,DIAT,6,6
3180,NISP,NA,valve,38885,NA,Diatoms,valve,Pinnularia sp. 51 NE Lakes,,DIAT,5,5
3181,NISP,NA,valve,38886,NA,Diatoms,valve,Pinnularia sp. 52 NE Lakes,,DIAT,1,1
3182,NISP,NA,valve,38887,NA,Diatoms,valve,Pinnularia sp. 53 NE Lakes,,DIAT,6,6
3183,NISP,NA,valve,38888,NA,Diatoms,valve,Pinnularia sp. 54 NE Lakes,,DIAT,3,3
3184,NISP,NA,valve,38889,NA,Diatoms,valve,Pinnularia sp. 55 NE Lakes,,DIAT,4,4
3185,NISP,NA,valve,38890,NA,Diatoms,valve,Pinnularia sp. 56 NE Lakes,,DIAT,4,4
3186,NISP,NA,valve,38891,NA,Diatoms,valve,Pinnularia sp. 6 NE Lakes,,DIAT,7,7
1451,NISP,NA,valve,12123,NA,Diatoms,valve,Pinnularia sp. 6?,,DIAT,3,3
3472,NISP,NA,valve,41211,NA,Diatoms,valve,Pinnularia sp. 60 NE Lakes,,DIAT,2,2
3187,NISP,NA,valve,38892,NA,Diatoms,valve,Pinnularia sp. 60 NE Lakes/Pinnularia sp. 61 NE Lakes,,DIAT,35,35
3188,NISP,NA,valve,38893,NA,Diatoms,valve,Pinnularia sp. 7 NE Lakes,,DIAT,6,6
2915,NISP,NA,valve,36240,NA,Diatoms,valve,Pinnularia sp. 7 NLA DB,,DIAT,2,2
1452,NISP,NA,valve,12124,NA,Diatoms,valve,Pinnularia sp. 7?,,DIAT,2,2
3189,NISP,NA,valve,38894,NA,Diatoms,valve,Pinnularia sp. 8 NE Lakes,,DIAT,10,10
1396,NISP,NA,valve,12037,NA,Diatoms,valve,Pinnularia sp. 8 PIRLA,,DIAT,7,6
1453,NISP,NA,valve,12125,NA,Diatoms,valve,Pinnularia sp. 8?,,DIAT,1,1
3190,NISP,NA,valve,38895,NA,Diatoms,valve,Pinnularia sp. 9 NE Lakes,,DIAT,4,4
1394,NISP,NA,valve,12035,NA,Diatoms,valve,Pinnularia sp. 9 PIRLA,,DIAT,49,34
1454,NISP,NA,valve,12126,NA,Diatoms,valve,Pinnularia sp. 9?,,DIAT,1,1
1445,NISP,NA,valve,12117,NA,Diatoms,valve,Pinnularia spp.,,DIAT,252,199
1373,NISP,NA,valve,12012,NA,Diatoms,valve,Pinnularia stauroptera,,DIAT,2,2
1374,NISP,NA,valve,12013,NA,Diatoms,valve,Pinnularia stauroptera var. clevei,,DIAT,1,1
1375,NISP,NA,valve,12014,NA,Diatoms,valve,Pinnularia stauroptera var. longa,,DIAT,1,1
1376,NISP,NA,valve,12015,NA,Diatoms,valve,Pinnularia stomatophora,,DIAT,54,22
2601,NISP,NA,valve,28730,NA,Diatoms,valve,Pinnularia subanglica,,DIAT,44,42
1377,NISP,NA,valve,12016,NA,Diatoms,valve,Pinnularia subcapitata,,DIAT,391,158
1410,NISP,NA,valve,12059,NA,Diatoms,valve,Pinnularia subcapitata var. 1 PIRLA,,DIAT,5,5
1379,NISP,NA,valve,12018,NA,Diatoms,valve,Pinnularia subcapitata var. paucistriata,,DIAT,12,6
3371,NISP,NA,valve,39085,NA,Diatoms,valve,Pinnularia subfalaiseana,,DIAT,13,13
1439,NISP,NA,valve,12106,NA,Diatoms,valve,Pinnularia subgibba,,DIAT,61,45
2341,NISP,NA,valve,25188,NA,Diatoms,valve,Pinnularia subgibba var. undulata,,DIAT,18,18
1380,NISP,NA,valve,12019,NA,Diatoms,valve,Pinnularia sublinearis,,DIAT,5,2
1440,NISP,NA,valve,12108,NA,Diatoms,valve,Pinnularia subrostrata,,DIAT,11,10
2338,NISP,NA,valve,25183,NA,Diatoms,valve,Pinnularia subrupestris,,DIAT,16,16
3372,NISP,NA,valve,39086,NA,Diatoms,valve,Pinnularia subrupestris var. cruciata,,DIAT,9,9
1382,NISP,NA,valve,12021,NA,Diatoms,valve,Pinnularia subsolaris,,DIAT,2,2
1383,NISP,NA,valve,12022,NA,Diatoms,valve,Pinnularia subsolaris var. truncata,,DIAT,2,2
1384,NISP,NA,valve,12023,NA,Diatoms,valve,Pinnularia substomatophora,,DIAT,12,8
1408,NISP,NA,valve,12052,NA,Diatoms,valve,Pinnularia substomatophora var. 1 PIRLA,,DIAT,3,3
1429,NISP,NA,valve,12081,NA,Diatoms,valve,Pinnularia substomatophora var. 2 PIRLA,,DIAT,1,1
1385,NISP,NA,valve,12024,NA,Diatoms,valve,Pinnularia sudetica,,DIAT,12,10
1386,NISP,NA,valve,12025,NA,Diatoms,valve,Pinnularia termitina,,DIAT,19,18
3373,NISP,NA,valve,39087,NA,Diatoms,valve,Pinnularia tirolensis,,DIAT,14,14
1402,NISP,NA,valve,12044,NA,Diatoms,valve,Pinnularia turnerae,,DIAT,5,4
3505,NISP,NA,valve,45461,NA,Diatoms,valve,Pinnularia umbrosa,,DIAT,2,2
1387,NISP,NA,valve,12026,NA,Diatoms,valve,Pinnularia undulata,,DIAT,16,9
2598,NISP,NA,valve,28727,NA,Diatoms,valve,Pinnularia viridiformis,,DIAT,7,7
1388,NISP,NA,valve,12027,NA,Diatoms,valve,Pinnularia viridis,,DIAT,335,243
3760,percent,NA,valve,12027,NA,Diatoms,valve,Pinnularia viridis,,DIAT,1,1
1389,NISP,NA,valve,12029,NA,Diatoms,valve,Pinnularia viridis var. minor,,DIAT,5,5
2373,NISP,NA,valve,25470,NA,Diatoms,valve,Pinnularia viridis var. viridis morph 4,,DIAT,38,10
1760,NISP,NA,valve,12525,NA,Diatoms,valve,Placoneis abiskoensis,,DIAT,7,7
3374,NISP,NA,valve,39088,NA,Diatoms,valve,Placoneis anglica,,DIAT,2,2
2995,NISP,NA,valve,36420,NA,Diatoms,valve,Placoneis cf. elginensis NLA JPK,,DIAT,1,1
1762,NISP,NA,valve,12527,NA,Diatoms,valve,Placoneis clementioides,,DIAT,1,1
1763,NISP,NA,valve,12528,NA,Diatoms,valve,Placoneis clementis,,DIAT,22,22
2366,NISP,NA,valve,25430,NA,Diatoms,valve,Placoneis cleveii,,DIAT,1,1
1764,NISP,NA,valve,12529,NA,Diatoms,valve,Placoneis elginensis,,DIAT,57,54
1765,NISP,NA,valve,12530,NA,Diatoms,valve,Placoneis exigua,,DIAT,7,7
1766,NISP,NA,valve,12531,NA,Diatoms,valve,Placoneis explanata,,DIAT,41,40
1767,NISP,NA,valve,12532,NA,Diatoms,valve,Placoneis gastrum,,DIAT,35,35
1840,NISP,NA,valve,12670,NA,Diatoms,valve,Placoneis paraelginensis,,DIAT,1,1
1768,NISP,NA,valve,12533,NA,Diatoms,valve,Placoneis placentula,,DIAT,12,12
1761,NISP,NA,valve,12526,NA,Diatoms,valve,Placoneis pseudanglica,,DIAT,13,13
2487,NISP,NA,valve,27192,NA,Diatoms,valve,Placoneis sp.,,DIAT,2,2
3191,NISP,NA,valve,38896,NA,Diatoms,valve,Placoneis sp. 1 NE Lakes/Placoneis sp. 9 NE Lakes,,DIAT,1,1
2582,NISP,NA,valve,28468,NA,Diatoms,valve,Placoneis sp. 1?,,DIAT,1,1
3192,NISP,NA,valve,38897,NA,Diatoms,valve,Placoneis sp. 2 NE Lakes,,DIAT,1,1
3193,NISP,NA,valve,38898,NA,Diatoms,valve,Placoneis sp. 4 NE Lakes,,DIAT,4,4
2322,NISP,NA,valve,25163,NA,Diatoms,valve,Placoneis spp.,,DIAT,9,9
2140,NISP,NA,valve,13319,NA,Diatoms,valve,Placoneis subplacentula,,DIAT,1,1
2125,NISP,NA,valve,13274,NA,Diatoms,valve,Placoneis symmetrica,,DIAT,4,4
1457,NISP,NA,valve,12130,NA,Diatoms,valve,Plagiotropis arizonica,,DIAT,5,5
1455,NISP,NA,valve,12128,NA,Diatoms,valve,Plagiotropis lepidoptera,,DIAT,2,2
3762,percent,NA,valve,12128,NA,Diatoms,valve,Plagiotropis lepidoptera,,DIAT,2,2
1456,NISP,NA,valve,12129,NA,Diatoms,valve,Plagiotropis lepidoptera var. proboscidea,,DIAT,5,5
1883,NISP,NA,valve,12783,NA,Diatoms,valve,Planothidium apiculatum,,DIAT,6,6
2015,NISP,NA,valve,13043,NA,Diatoms,valve,Planothidium calcar,,DIAT,6,6
2950,NISP,NA,valve,36341,NA,Diatoms,valve,Planothidium cf. delicatulum NLA DB,,DIAT,1,1
1870,NISP,NA,valve,12769,NA,Diatoms,valve,Planothidium delicatulum,,DIAT,47,44
1873,NISP,NA,valve,12773,NA,Diatoms,valve,Planothidium distinctum,,DIAT,2,2
1884,NISP,NA,valve,12785,NA,Diatoms,valve,Planothidium dubium,,DIAT,7,7
1874,NISP,NA,valve,12774,NA,Diatoms,valve,Planothidium engelbrechtii,,DIAT,2,2
1881,NISP,NA,valve,12781,NA,Diatoms,valve,Planothidium frequentissimum,,DIAT,224,209
1876,NISP,NA,valve,12776,NA,Diatoms,valve,Planothidium granum,,DIAT,8,8
1877,NISP,NA,valve,12777,NA,Diatoms,valve,Planothidium hauckianum,,DIAT,3,3
2009,NISP,NA,valve,13032,NA,Diatoms,valve,Planothidium haynaldii,,DIAT,4,4
2491,NISP,NA,valve,27225,NA,Diatoms,valve,Planothidium holstii,,DIAT,1,1
3375,NISP,NA,valve,39089,NA,Diatoms,valve,Planothidium incuriatum,,DIAT,33,33
1878,NISP,NA,valve,12778,NA,Diatoms,valve,Planothidium joursacense,,DIAT,12,12
1711,NISP,NA,valve,12471,NA,Diatoms,valve,Planothidium lanceolatum,,DIAT,142,136
1885,NISP,NA,valve,12787,NA,Diatoms,valve,Planothidium minutissimum,,DIAT,2,2
1888,NISP,NA,valve,12792,NA,Diatoms,valve,Planothidium oestrupii,,DIAT,21,21
1712,NISP,NA,valve,12472,NA,Diatoms,valve,Planothidium peragalli,,DIAT,16,16
1889,NISP,NA,valve,12793,NA,Diatoms,valve,Planothidium peragalli var. parvulum,,DIAT,1,1
1871,NISP,NA,valve,12770,NA,Diatoms,valve,Planothidium robustum,,DIAT,1,1
1882,NISP,NA,valve,12782,NA,Diatoms,valve,Planothidium rostratum,,DIAT,53,53
2466,NISP,NA,valve,27170,NA,Diatoms,valve,Planothidium sp.,,DIAT,3,3
3194,NISP,NA,valve,38899,NA,Diatoms,valve,Planothidium sp. 1 NE Lakes,,DIAT,1,1
3531,NISP,NA,valve,45626,NA,Diatoms,valve,Planothidium sp. 2 NLS PJG cf. stewartii,,DIAT,1,1
2583,NISP,NA,valve,28469,NA,Diatoms,valve,Planothidium spp.,,DIAT,13,13
2037,NISP,NA,valve,13084,NA,Diatoms,valve,Planothidium stewartii,,DIAT,12,12
2034,NISP,NA,valve,13079,NA,Diatoms,valve,Platessa conspicua,,DIAT,63,59
2035,NISP,NA,valve,13080,NA,Diatoms,valve,Platessa holsatica,,DIAT,2,2
2036,NISP,NA,valve,13082,NA,Diatoms,valve,Platessa hustedtii,,DIAT,6,6
3195,NISP,NA,valve,38900,NA,Diatoms,valve,Platessa sp. 1 NE Lakes,,DIAT,2,2
3196,NISP,NA,valve,38901,NA,Diatoms,valve,Platessa sp. 2 NE Lakes,,DIAT,1,1
2447,NISP,NA,valve,27134,NA,Diatoms,valve,Platessa stewartii,,DIAT,6,6
3376,NISP,NA,valve,39090,NA,Diatoms,valve,Platessa strelnikovae,,DIAT,9,9
1458,NISP,NA,valve,12133,NA,Diatoms,valve,Pleurosigma salinarum,,DIAT,3,3
2694,NISP,NA,valve,30239,NA,Diatoms,valve,Pleurosigma spp.,,DIAT,1,1
1713,NISP,NA,valve,12473,NA,Diatoms,valve,Pleurosira laevis,,DIAT,2,2
3633,mg/L,NA,lab,21267,NA,Water chemistry,lab,Potassium ions,,WCHM,2,2
2127,NISP,NA,valve,13280,NA,Diatoms,valve,Prestauroneis integra,,DIAT,1,1
3377,NISP,NA,valve,39091,NA,Diatoms,valve,Prestauroneis protracta,,DIAT,2,2
2080,NISP,NA,valve,13166,NA,Diatoms,valve,Proschkinia bulnheimii,,DIAT,1,1
2192,NISP,NA,valve,24553,NA,Diatoms,valve,Psammodictyon,,DIAT,10,1
